AP-2rep	Tfam
NRF-1	Zcchc7
CREB	Ier2
PPARG	Fgg
OTX	Etnk1
CREB	Frat1
CREB	Frat2
c-Ets-1(p54)	Il2rg
ER	Slc7a3
TGIF1	Znrd1as
NFAT3	Prss34
PPARG	Fmo6
ETS2	Nhedc1
HNF4	Tsc1
HNF4	Tsc2
ETS2	Nhedc2
c-Myc:Max	Snora41
PPARG	Alox12
ETS2	Mir26a-1
Stat3	Fank1
myogenin	Rgma
myogenin	Rgmb
PUR1	Rcbtb2
ETS2	Mir26a-2
FLI1	Lztfl1
NRF-1	6430550D23Rik
AML1	Oprm1
ETS2	Gprasp1
Stat3	Gripap1
HNF4	Lrat
HNF4	Clec9a
YY1	Crebbp
HNF4	4932435O22Rik
ETS2	Olfr1404
myogenin	1700112E06Rik
HNF4	Mrpl22
MyoD	Cacng6
Nkx2-5	Mars
AP-2rep	Shfm1
GR	Tchhl1
AP-2rep	Rybp
Nkx2-5	Atp6v1g3
HNF4	Mrpl24
E2A	Nacc2
NFAT3	Gm1332
PPARG	Dlx6as
GSH2	Uncx
NRF-1	A230072E10Rik
HNF4	Mrpl27
COUPdirectrepeat1	Mrpl4
GR	Zfhx4
deltaEF1	C1qc
HNF4	Mrpl28
PPARG	a
GABPA	Kbtbd4
AP-2rep	Grin2a
HNF4	Fam40a
Nkx2-5	C1ql3
ERR2(ESRRB)	Lrrc47
myogenin	Mphosph8
AP-2rep	Grin2b
OTX	Amigo2
AP-2rep	Grin2c
ATF2	5430402O13Rik
ETS2	Lin28b
SOX5	Ndufb11
PPARG	Lag3
SOX5	Tnfrsf11b
Nkx2-5	Ndufb3
myogenin	Mxra8
HNF4	Zswim1
ETS2	Pura
LMAF	Lag3
Stat3	Thap3
HNF4	Zswim2
PKNOX2	Fitm1
HNF4	Zswim3
HNF4	Zswim4
myogenin	Nme3
HNF4	Zswim5
HNF4	Zswim6
ETS2	Mst1
HNF4	Zswim7
PPARG	Opn1sw
YY1	Nsfl1c
ETS2	Ms4a6b
Myc	Trmt2a
PPAR	E130309F12Rik
myogenin	Phkg2
GABPA	Uggt1
ETS2	Unc5cl
GABPA	Uggt2
ETS2	Ms4a6d
PUR1	Rock1
AML1	Clec4a1
SOX5	Suox
MEF-2	Phospho1
myogenin	Ocel1
STAT6	Gnptg
Stra13	Aida
TAL1	Zfand3
Stat3	Cd276
HNF4	1700001P01Rik
AP-2rep	Arf1
HNF4	Uvrag
GR	Sall1
TAL1	Prrxl1
HNF4	Bud13
ATF	Dmrta2
AP-2rep	Arf4
GLI2	Hoxd12
HNF4	Shox2
PPARG	Fh1
ETS2	Fggy
GR	Olfr703
MAFA	AI462493
TEF	Bmp4
RORalpha	Trim29
ETS2	Ankzf1
myogenin	Cryga
T3R	Nxph4
MAFA	Abcb9
FOXM1	Cldn15
Nkx2-5	Atp1b3
HNF4alpha	Anks4b
SOX5	Slc44a4
GR	Olfr706
PPAR	Cntfr
NRF-1	Kri1
SOX5	Vmn2r-ps159
ISL1	Hdac7
ATF	Tsc22d2
STAT6	Nol4
NRSF	Enox1
Stat3	Syne1
ATF	Tsc22d3
MAFA	AW549877
Nobox	Rgag1
LEF1	Slc1a2
NFAT3	Snx21
HNF4	Insig1
RFX1	Gtf2f1
Stra13	Osbpl8
STAT6	Nol6
HNF4	Insig2
HNF4	Olfr1042
E2F-1	Zc3hav1l
HNF4	Olfr1043
AP-2rep	3110099E03Rik
SF1	Acan
AP-1	Foxo6
ETS2	Glb1
STAT6	Nol9
MAFA	Stam
HNF4	Olfr1046
myogenin	Ankrd52
NFAT3	Snx27
PPARG	Olfr70
HNF4	Olfr1047
AP-2rep	Akirin1
myogenin	Tcp11l1
ETS2	B3gnt2
AP-2rep	Akirin2
HNF4	Olfr1049
NFAT3	Scd2
NF-Y	Slc2a4
PUR1	Crybb1
USF	Hspb9
HNF4	Prkrir
MAFA	Star
Nkx2-5	Olfr195
ETS2	B3gnt5
hbp1	Cdh12
NFAT3	Fam159b
TEF	Kif1c
NF-Y	Slc2a6
ATF	Galnt11
PPARG	Olfr76
myogenin	Crygs
AP-1	Traf3
myogenin	Ankrd58
Oct-1	Asxl3
ETS2	B3gnt7
NRF-1	Atxn2l
ISL1	Syt4
HNF4	Fgfr1op
Nkx2-5	Olfr199
Stat3	Ptk2
SOX5	Zar1
Pdx1	Bsx
Nkx2-5	Arfgap2
myogenin	Itih3
SREBP-1	Chd2
AP-2rep	Pars2
myogenin	Itih4
STAT6	Gse1
AP-2rep	Gm996
E2A	Tubgcp6
HNF4	Plk1
MyoD	Palld
CTCF	Mir92-1
HNF4	Plk2
ETS2	Fam163b
HNF4	1110032A04Rik
Stat3	Lce1c
PUR1	Vegfa
Elk-1	Gpank1
HEB	Gtpbp8
PPARG	Olfr791
HNF4	Plk3
HNF4	Myst1
PUR1	Vegfb
STAT6	Rpl35a
ATF1	Cct4
AP-2rep	Adam11
HNF4	Myst2
HNF4	Plk4
SOX5	Golph3l
NRF-1	Zc3h8
PUR1	Cfl1
E12	Khdrbs3
PUR1	Vegfc
AP-2rep	Adam12
HNF4	Abra
HNF4	Myst4
PUR1	Cfl2
ESE1	Arhgap9
SOX5	Prdm1
T3R	Slc9a7
Stat3	Atp9a
myogenin	Slc7a2
Stat3	Atp9b
HNF4	Gm53
myogenin	Slc7a3
NFAT3	9530077C05Rik
AP-2rep	Adam15
myogenin	Sepsecs
GABPA	Snord72
PPARG	Olfr798
P50:P50	Stat6
SOX5	Prdm4
ER	Asb15
ETS2	Pus3
NFAT3	Gm3086
Stat3	Lce1l
AP-2rep	Adam19
ETS2	Enox2
AP-2rep	Esrp1
HNF4	Cyp2d11
NUR77	Apex2
HNF4	Cyp2d12
AML1	Rian
SOX5	Prdm8
rax	A730069N07Rik
PPARG	2810055G20Rik
HNF4	Cyp2d13
MyoD	Calb1
ETS2	Ankrd17
c-Rel	Rel
HNF4	Lrba
GSH2	Gm5148
HNF4	Foxe1
AP-2rep	Nbea
MAFA	Tctex1d4
myogenin	Esrra
ETS2	Hoxc10
COUP	4921513I03Rik
NRF-1	Dennd5a
ETS2	Hoxc11
myogenin	Esrrb
OTX	Mir876
HNF4	Foxe3
NF-E2	Pdgfrb
ETS2	Hoxc12
HNF4	Ict1
GR	Gm4980
AP-2rep	Gsn
HNF4	Bbip1
HNF4	0610040J01Rik
ETS2	Zfp300
ETS2	Nipal2
Nobox	Etaa1
SOX5	Gas2l3
CTCF	Fmnl3
Stat3	2310067B10Rik
myogenin	Gm3258
myogenin	Ranbp17
myogenin	Slc40a1
SOX5	Gja3
YY1	Hist1h3h
SOX5	Fam64a
PPARG	Col7a1
ETS2	Ldlrad1
AP-2rep	U2af1l4
ETS2	Otub1
myogenin	3110002H16Rik
AP-2rep	Mettl6
SOX5	Gja6
AP-2rep	2310022B05Rik
FRA1	Dgkb
SOX5	Pclo
HNF4	S100a1
SOX5	Gja8
NRSE	Rasgrf1
HNF4	S100a2
GABPA	Clns1a
HNF4	S100a3
MAFA	Clrn2
AML1	Krt73
HNF4	S100a4
AML1	Krt74
STAT6	Dhx58
HNF4	S100a5
AML1	Grb10
HNF4	S100a6
NRF-1	Fam60a
STAT6	Gm4027
HSF2	Sfrp1
Nobox	Gdpd5
AML1	Fos
USF	Naglu
MAFA	Rhobtb1
HNF4	S100a8
HNF4	Mrpl33
HNF4	Whrn
HNF4	S100a9
HNF4	Mrpl34
ERR2(ESRRB)	Lrrc51
SOX5	Camk4
HNF4	Mrpl35
HNF4	Mrpl36
PPARG	Fam122b
REST	Resp18
E2A	C1ql3
HEB	Fam71f1
MAFA	Rbx1
Arnt	Cltc
HNF4	Mrpl37
ATF2	Bhlhe22
AP-2rep	Hif3a
LH-2	Shox2
GLI2	Dcaf11
HNF4	Mrpl38
NF-E2	Hdac3
SOX5	Kcnq5
AP-2rep	Grin3a
ETS2	Frmd3
E2F-1	Nptx1
GR	Sema6c
myogenin	Lypd1
Zic3	Negr1
E2F-1	Apitd1
ETS2	Frmd5
PUR1	Pet117
PPARG	Mtmr14
ERRalpha	Zmat4
AP-2rep	Adam1a
AP-2rep	4930578N16Rik
myogenin	Nxn
ETS2	Frmd7
AP-2rep	Adam1b
PPARG	Skor2
ETS2	Mir138-2
ATF2	Ckb
deltaEF1	Myh3
AP-1	Arap2
AP-1	Arap3
HNF4	Tcfap4
Nkx2-5	Cs
CTCF	Micalcl
STAT6	Arhgef2
STAT6	Arhgef3
ETS2	E030011O05Rik
SOX5	Gm7120
AP-2rep	8430427H17Rik
Ets	Ipo7
AP-2rep	Abat
MyoD	Arl4a
HNF4	Aoc2
ETS2	Ociad1
HNF4	Ift80
Lmo2complex	Atp5g2
AP-2rep	1700025K23Rik
ETS2	Ociad2
HNF4	Ift81
ETS2	2900002K06Rik
STAT6	Arhgef7
SOX5	Hnrnph3
PPARG	Smtn
ERR2(ESRRB)	Fh1
ETS2	Mir3101
ETS2	Mir3102
myogenin	Tmem170b
FRA1	Elf2
AML1	Rictor
HNF4	Ift88
hbp1	Efcab3
ESE1	Frmd4a
Nobox	Magel2
FRA1	Elf3
PPARG	Dnpep
HNF4	4921517D21Rik
myogenin	2010003K15Rik
alpha-CP1	Sc5d
SMAD4	Best2
MAFA	Abcc1
AML1	Fcer1a
RXR:LXR-beta	Smyd5
SOX5	Pcm1
SOX5	D430020J02Rik
Stat3	Gigyf2
SOX5	Hsd11b1
SOX5	Ptar1
SOX5	Csn3
GLI3	Dynll1
SOX5	Hsd11b2
ERR2(ESRRB)	Lgi2
HNF4	Ralyl
ETS2	Ctbp1
Nkx2-5	Cdkn1a
Stat3	Ctgf
ETS2	Mir3109
GR	Olfr711
Stat3	Gm5506
Nkx2-5	Cdkn1b
ETS2	Cant1
hbp1	Cyp26c1
CREB	Wdr82
FRA1	Nras
OTX	4933436C20Rik
SMM	Oprd1
MAFA	1700011E24Rik
CREB	Lgr5
PPARG	Duoxa1
MAFA	Tnni2
PUR1	Elac1
PPARG	Cartpt
Lyf-1	Suox
STAT1:STAT1	R3hdm2
Stat3	Rcan2
GR	Sox12
HNF4	Cilp2
PPARG	Npy1r
HNF4	Olfr1051
HNF4	Pde10a
AML1	Isl1
HNF4	Olfr1052
HNF4	Cpeb1
HNF4	Olfr1053
HNF4	Cpeb2
SF1	Hmgn3
HNF4	Cpeb3
Stat3	1700023A16Rik
ETS2	1700066O22Rik
HNF4	Cpeb4
AR	Phf21a
ETS2	Penk
HNF4	Olfr1057
AP-2rep	Uchl4
E2A	N4bp1
hbp1	Krtap4-7
SOX5	Igf1
SOX5	Igf2
STAT6	Col14a1
SREBP-1	Ube2b
Stra13	Gpx1
MAFA	2810046L04Rik
AML1	St8sia4
AP-2rep	Col5a1
AP-2rep	Col5a2
Esrrb	Sod3
Nkx2-5	Sema3b
AP-2rep	Top3a
STAT6	Olfr552
Nkx2-5	Sema3c
AP-2rep	Syt11
STAT6	Olfr553
Nkx2-5	Sema3d
SOX5	Bet1l
Elk-1	Sar1a
ETS2	Fam164b
PPARG	Rhobtb2
HNF4	D130020L05Rik
myogenin	Wsb2
USF	Fshr
AP-2rep	Syt16
ATF	Gpr3
alpha-CP1	Usp21
Nobox	Stk3
AML1	Nkx3-2
AP-2rep	Adam23
HNF4	Chtf8
HNF4	Ddr1
ATF	Gpr6
STAT6	Hnrnpa2b1
MAFA	Gcnt2
SOX5	Pou2af1
SOX5	Camkv
HNF4	Ddr2
CTCF	Gm14207
SOX5	Pdgfra
AML1	Rnps1
ETS2	Ankrd22
PUR1	Mtx3
OTX	Col11a1
PPARG	D6Wsu116e
ETS2	Ankrd24
ETS2	Nkx2-2as
ETS2	Lrpprc
ATF	Stat3
GABPA	Dnali1
PPARG	Grk5
NRF-1	Rps10
STAT6	Synpo2
SOX5	Ripply2
PPARG	1700065D16Rik
CLOCK:BMAL	Sema6a
PPARG	Grk6
Nobox	Arrb1
AP-2rep	Pop5
HNF4	Ndc80
NRF-1	Rps12
Elk-1	Hmg20a
AML1	Bmper
HNF4	Foxf2
SOX5	Phlda1
ETS2	Cpxm2
myogenin	Vax2
PPARG	Efemp2
Arnt	Snx2
PPARG	9330159F19Rik
AP-2rep	Zranb3
NRF-1	Rps17
OTX	Olfr259
PUR1	Bnc1
AP-1	2310002J15Rik
ETS2	Mir7-2
AP-2rep	Mctp1
Mycn	Aldh18a1
MATH1	C4a
HNF4	Actc1
MATH1	C4b
NeuroD	Xkr6
CTCF	Marcksl1
CTCF	Pop5
T3R	1700001C19Rik
SOX5	5430405H02Rik
CREB	Spag4
RFX1	U2af2
ATF1	Id1
AP-2rep	Bzw2
Nkx2-5	Cst7
STAT6	Zkscan16
AP-2rep	E030003E18Rik
SOX5	Gjb6
Oct-1	Hist3h2a
NFAT3	Prss53
ETS2	Zfp319
GR	Mylpf
CREB	Spag9
PPARG	Gbf1
Elk-1	Srbd1
FLI1	Spry2
AP-2rep	Cdkn2aipnl
MYB	C4b
SF1	Sec24a
GABP	Rpl34-ps1
Nobox	Wnt2
FRA1	9530026P05Rik
Stat3	Sphk1
HNF4	Cdc42bpa
PUR1	Zdhhc13
PUR1	Zdhhc14
HNF4	Mrpl40
AML1	Krt85
SOX5	Pinx1
HNF4	Cdc42bpb
SOX5	Thsd7a
ETS2	Olfr1424
HNF4	Carhsp1
HNF4	Mrpl41
rax	Tle4
HNF4	Mrpl42
Nkx2-5	Thrsp
Barhl2	Sema6a
HNF4	Mrpl44
STAT6	2310002J15Rik
HNF4	Cdc42bpg
Lyf-1	Synpo
PPARG	Fam123a
HNF4	Mrpl45
myogenin	Ambp
AP-2rep	Dda1
ETS2	Prrg1
HNF4	Mrpl46
FLI1	Epha2
myogenin	Magi2
NF-Y	Mzt1
HNF4	Mrpl47
HNF4	Tmem50a
AML1	Fam53b
myogenin	Magi3
AML1	Fam53c
Nkx2-5	2210409E12Rik
HNF4	Mrpl48
HNF4	Mrpl49
FRA1	Omd
c-Myc:Max	Clcn6
SOX5	Mir183
STAT6	Alg13
SREBP-1	Rspry1
HEB	Mir34a
SOX5	Mir184
AML1	Gpnmb
STAT6	1700072E05Rik
HNF4	Rab33a
PPARG	Ugdh
myogenin	Gm14548
Zic1	Rara
SOX5	Mir186
SOX5	Mir187
SOX5	Tnfrsf13b
SOX5	Nfia
HNF4	Lman1
STAT6	Ddx4
TCF1	Shf
SOX5	Nfib
HNF4	Ly6g5b
HNF4	Lman2
HNF4	Ly6g5c
CLOCK:BMAL	Mir9-2
GABPA	Mir3087
CREB	Dmrta2
SF1	Uqcr10
ISL1	Spaca5
NFAT3	Mir3071
PPARG	Uqcr10
STAT6	Arfip2
RSRFC4	Elavl4
GABPA	Rpl34-ps1
EBF	8430410A17Rik
NRF-1	Ints2
GABP	Mrpl21
NRF-1	Sap18
HNF4	6030419C18Rik
AML1	Ric8
NRF-1	Ints3
SOX5	O3far1
ETS2	Ms4a8a
GR	LOC100499420
MATH1	Sema7a
Nkx2-5	Prkcd
Nkx2-5	Hexim2
EMX2	Otx2
NRF-1	Ints6
TGIF1	Mir135a-2
AP-1	Capns1
MAFA	Coro1b
PUR1	1110021J02Rik
AP-2rep	4930407I10Rik
NFAT3	Mir3078
REX1	Rai1
myogenin	Lama2
ETS2	Mir3110
GR	Akap2
NRF-1	Ints7
myogenin	Lama3
Stat3	Mir487b
Myc	Osm
deltaEF1	Brwd3
Nkx2-5	Prkch
SOX5	Pcgf2
ETS2	Mir3112
Lyf-1	Ston1
myogenin	Lama5
Nkx2-5	Prkci
myogenin	Vstm2a
RXR:LXR-beta	Mdk
HNF4	Bud31
SF1	Casq2
MAFA	Abcd2
PUR1	Gnpda2
USF	Foxp4
SOX5	Fstl5
RUSH-1alpha	Trpc7
Nkx2-5	Crispld1
Nkx2-5	Cdkn2b
HNF4	Krtap6-2
myogenin	2900006K08Rik
PPARG	Hba-x
Nkx2-5	Prkcq
SOX5	Nfix
SOX5	Mrps18a
MAFA	Arhgef12
SOX5	Mrps18b
HOXC9	D630042F21Rik
alpha-CP1	Cdca2
lmx1b	Irx6
GR	Tmem126b
SOX5	Mrps18c
HNF4	Nolc1
STAT6	1700011A15Rik
alpha-CP1	Cdca3
PPARG	Cks2
AP-2rep	Lhx1
PUR1	2610100L16Rik
SOX5	Selp
AP-2rep	Lhx3
CLOCK:BMAL	Snord35a
AP-2rep	Lhx4
HNF4	Dtx1
HNF4	Olfr1061
CTCF	Pdzd9
SOX5	Timd4
PPARG	Ampd1
HNF4	Dtx2
HNF4	Olfr1062
AML1	Ism1
HNF4	Dtx3
AP-2rep	Lhx6
PPARG	Ampd2
myogenin	Scn4b
myogenin	Mcts2
HNF4	Dtx4
PUR1	Shpk
ETS2	Vill
myogenin	Rgp1
PPARG	Fads1
GR	Zfp521
Oct-1	Anks1b
AP-2rep	Lhx9
SOX2	Srrm4
HNF4	Olfr1066
PPARG	Fads2
PPARG	Fads3
myogenin	Dcun1d4
E2A	Cdc25a
myogenin	Dcun1d5
HNF4	LOC100502868
Stat3	Fosl1
PPARG	Dus3l
PPARG	Olfr95
SOX5	Zmynd11
STAT6	Tmub2
GABPA	Farsa
CREB	Ankrd17
Stat3	Fosl2
Nkx2-5	Fen1
GABPA	C1qbp
Stat3	2700060E02Rik
PPARdirectrepeat1	Mir3089
Nkx2-5	Sema4b
STAT6	Ssb
HNF4	1190003K10Rik
STAT5B(homodimer)	Ecel1
ETS2	Rod1
USF	Fbxl5
CTCF	Mycl1
HNF4	Sass6
ETS2	Nup160
PREP1	Cdh29
SOX5	Zmynd17
SOX5	Hs6st3
ETS2	Fam165b
GR	Tspan1
AP-2rep	Eya2
AP-2rep	Dimt1
GR	Tspan3
CREB	Dpcr1
MyoD	Qrich1
Stat3	Gstm1
AML1	Tcirg1
Stat3	Fbxo11
PPARG	Nuak1
ETS2	Zdbf2
Stat3	Gstm2
E2F-1	Atrnl1
NF-kappaB	Zbtb11
AP-2rep	Oaz2-ps
Lyf-1	Sh2d4b
AP-2rep	Faf2
HNF4	Nkx2-1
HNF4	Nkx2-2
HNF4	Podnl1
HNF4	Nkx2-3
NF-Y	Txlna
Ebox	Ndufs1
PPARG	Myh14
PPARG	Myh15
ETS2	Ankrd33
HNF4	Nkx2-4
MAFA	Tln2
Stat3	Usp2
HNF4	Nkx2-5
Nkx2-5	Gzmk
ETS2	Mir3070b
PUR1	Iglon5
Nkx2-5	Prkd2
STAT6	Mir27a
TR4	Gbf1
AP-2rep	Tef
HNF4	Nkx2-6
AP-2rep	Impdh1
NF-kappaB	Aff2
ETS2	Phgr1
PPARG	Ano2
NUR77	Rin2
PPARG	Ano3
alpha-CP1	Etfdh
HNF4	Nkx2-9
PPARG	Ano4
STAT6	Mast1
HNF4	Foxg1
SMM_from_consensus	Vps25
HNF4	Car5b
PPARG	Ano5
ETS2	Ankrd39
ATF2	Mlf2
Lyf-1	Epas1
CTCF	Faf2
COUP	Slc39a5
HSF1	A630075F10Rik
ATF2:c-Jun	Baz2b
HNF4	Lrdd
Nkx2-5	Vta1
AP-2rep	Susd5
PUR1	Pih1d2
AP-2rep	Crygf
ETS2	Srgap1
SOX5	Gjc1
AP-2rep	Scn2b
ETS2	Srgap2
AML1	Arl6
Nkx2-5	Cbll1
USF	Lin52
MAFA	Sdr9c7
AP-2rep	Tes
AML1	Gm13177
USF	Atg3
MATH1	Mamld1
MyoD	Rasgrp2
PPARG	Wnt10b
HNF4	Mzt1
HNF4	Slfn1
ETS2	Zfp326
MATH1	Eif1ad
HNF4	Slfn2
USF	Atg5
Stat3	Aldh7a1
ipf1	C130071C03Rik
SOX5	Aff3
AP-2rep	Hsd17b13
ETS2	Otud4
PUR1	Zdhhc20
SOX5	9230102K24Rik
ETS2	Otud5
AP-2rep	Hsd17b14
HNF4	Dlec1
myogenin	A430107P09Rik
Egr-3	Arhgap25
myogenin	Kif21a
PUR1	Zdhhc22
Stat3	Uck2
ETS2	Gldc
STAT5A(homodimer)	Pcolce
myogenin	Kif21b
PUR1	Zdhhc24
AP-2rep	Itih1
ISL1	U2af1l4
NF-Y	Gsbs
MAFA	Bmpr2
HNF4	4732471D19Rik
HNF4	Mrpl51
HNF4	Mrpl52
MATH1	Axin2
NRF-1	Tulp3
PPARG	Mrps14
MAFA	E2f2
MAFA	Hsp90b1
HNF4	Mrpl54
ETS2	Prodh2
ESE1	Mir98
MAFA	E2f4
MAFA	Wdr34
ETS2	Prex1
AML1	Fam54a
SOX5	Mir190
myogenin	S100a10
AP-2rep	Grid2ip
OTX	Neo1
MAFA	Ccdc102a
myogenin	S100a11
MyoD	Tnnt2
PPARG	Barx2
HNF4	1600016N20Rik
HNF4	Fam43a
USF	Phf20l1
E2A	Gm12
ETS2	Gldn
HNF4	Fam43b
Stat3	Cd2bp2
myogenin	S100a14
myogenin	S100a16
myogenin/NF-1	Hoxa6
GLI1	Psph
CTCF	Ddb1
Nkx2-5	Irak1
PPARG	Hoxa10
HNF4	Ly6g6c
MAFA	Vps53
E2A	Prkca
PPARG::RXRA	Lpl
HNF4	Ly6g6d
alpha-CP1	Psme2
MAFA	Gfpt2
TAL1	0610038B21Rik
NRF-1	Atf5
SOX5	Spry1
PPARG	Hoxa13
HNF4	Ly6g6e
NFAT3	Mir3081
SOX5	Spry2
Oct-1	Pou2f1
SOX5	Spry3
HNF4	Ly6g6f
HEB	Cmklr1
MAFA	Aif1l
SOX5	Spry4
PUR1	Polr3c
c-Ets-2	Egfl7
Oct-1	Pou2f3
AP-2rep	Esrrb
CTCF	Efcab4a
Stat3	Ptms
HNF4	Prrx1
GR	Olfr1137
ETS2	Thumpd2
PPARG	Zfp106
Nobox	Hepacam2
OCT-x	Dll1
MAFA	BC005537
myogenin	Lamb3
MAFA	Uaca
Zic1	Cdk6
SOX5	AW011738
SOX5	Epha3
Stat3	C1galt1
SOX5	Epha4
E2F-1	Tmem203
GR	Piga
SOX5	Epha5
SOX5	Epha6
GR	Pvrl1
SOX5	Epha7
NF-E2	Ptgir
YY1	Clk2
AP-1	Chchd4
Stat3	Ctif
MAFA	Nfe2l1
YY1	Clk4
PPARG	Snora19
GABPA	Wdfy2
PUR1	Batf
NRF-1	Stt3b
HNF4	Olfr101
MAFA	Sgtb
FRA1	Pbx1
ETS2	Ankmy2
Elk-1	Hif1an
HNF4	Olfr103
HNF4	Megf8
PPARG	BC055324
HNF4	Megf9
myogenin	Amd1
LMAF	Rps17
HNF4	Olfr106
GR	Olfr738
myogenin	Amd2
TAL1	Trp53bp1
PPARG	Phc2
COUP	Serpinh1
LEF1	Mllt10
HNF4	Olfr107
T3R	Crabp2
HNF4	Ppargc1a
GABPA	Lysmd1
HNF4	Ppargc1b
PPARG	Eif4ebp1
HNF4	Olfr109
Lyf-1	Maoa
ETS2	Slit1
PPARG	Eif4ebp3
PPARG	Kat2a
SOX5	Gtf2a2
NRF-1	Eno4
Nkx2-1	Pou6f1
AP-2rep	Ndst1
HNF4	Mudeng
SOX5	Ubr4
NRF-1	Klhdc3
ETS2	Ildr1
SOX5	Ubr5
AP-2rep	Ndst2
alpha-CP1	Chmp5
NFAT3	BC055402
HNF4	Nrarp
PUR1	Lynx1
GABP	Rbm19
AP-2rep	Ndst4
PUR1	4931417G12Rik
PUR1	Asb10
CTCF	Dusp13
E2A	Arhgap9
HNF4	Taldo1
AP-2rep	Lypd2
SOX5	Mir19a
AML1	Coq6
HNF4	Tsfm
HNF4	Adamtsl1
AP-2rep	4930465K10Rik
PPARG	Prps1
HNF4	Adamtsl2
AP-2rep	Lypd4
SREBP-1	Ube4b
HNF4	Adamtsl3
SOX9	Pik3c2a
myogenin	Flg2
HNF4	Adamtsl4
STAT6	Marveld3
IRF	Il27
Octamer	Hist1h3b
PUR1	Asb16
HNF4	Adamtsl5
Octamer	Hist1h3c
MyoD	Obfc2b
SOX5	Ccdc28a
CLOCK:BMAL	Hmgcl
Nkx2-5	F8
Nkx2-5	F9
SMM_from_consensus	Mrps14
NF-Y	Wdr25
ETS2	Fam166a
HNF4	Gins3
ETS2	Fam166b
AML1	Atp5a1
AML1	4931407G18Rik
HNF4	Gins4
RXR:LXR-beta	2310028H24Rik
MAFA	Cer1
SOX5	Lifr
PPARG	Hsp90b1
ETS2	Vangl1
Esrrb	Aco2
ETS2	Vangl2
PPARG	Mirlet7f-1
ETS2	4921531C22Rik
E2A	Eef1b2
HNF4	9530091C08Rik
ETS2	Ankrd40
SOX5	L3mbtl4
NRF-1	Nup50
myogenin	1700019O17Rik
PPARG	Camk2n1
HNF4	A830018L16Rik
ETS2	Ankrd42
HNF4	Cyp2d40
NF-kappaB	Zbtb25
HNF4	D630042P16Rik
PPARG	Grm2
HNF4	Hyi
SOX5	Pcdhga1
HNF4	Gm88
FLI1	Dcbld2
NF-kappaB	Zbtb26
SOX5	Stim2
ETS2	Ankrd44
SOX5	Inpp4a
E2F-1	Morc3
HNF4	Btbd10
SOX5	Inpp4b
SOX5	Pcdhga3
AP-2rep	Tfg
HNF4	Btbd11
Nkx2-5	A430110N23Rik
hbp1	Cdc37l1
SOX5	Pcdhga4
STAT6	Rabgap1l
PUR1	Zdhhc5
NFAT3	Snord90
GABPA	Zfp407
AML1	LOC100504232
Elk-1	Acot8
PPARG	Grm7
HNF4	Foxh1
Nkx2-5	Mir376a
PUR1	Zdhhc7
Hand1::Tcfe2a	Lmod1
PPARG	Grm8
GABPA	Zfp408
SOX5	Pcdhga7
NFAT3	Pkdcc
Nkx2-5	Mir376b
HNF4	Tcap
SOX5	Sorcs1
SOX5	Pcdhga8
Nkx2-5	Mir376c
NRSF	Vgf
HNF4	Btbd16
HNF4	Btbd17
LMAF	Gm11937
SREBP-1	Lrrc48
CREB	Palm2
HNF4	Asrgl1
HNF4	Gsbs
AP-2rep	2700078E11Rik
PUR1	Ankrd13d
ETS2	Zfp330
HNF4	Btbd19
OTX	Ogfod1
ETS2	1700040I03Rik
AP-1	Spred1
PPARG	1700065I17Rik
Lyf-1	Fam101b
AP-1	Spred2
NF-Y	Abcd2
MAFA	Vma21
HNF4	Eda
AP-1	Spred3
Esrrb	Khsrp
PPARG	Dact2
E2F-1	Foxo1
SREBP-1	Dnaic2
NRF-1	Tdrd1
CREB	Arl4d
ETS2	Gm221
ETS2	Wfdc2
NRF-1	Tdrd3
NFAT3	Sec23a
MAFA	Dmrtc1a
MAFA	Hnrnpul1
PPARG	Sirpa
NRF-1	Tdrd5
SOX5	Mir1839
MyoD	Fibp
MAF	Slc3a2
SOX5	8430431K14Rik
STAT6	Rfc4
NUR77	Mrpl12
ATF	Tspyl1
PPARG	Mrps21
ETS2	Olfr1444
STAT6	Tslp
Nkx2-5	Zfp503
ETS2	Wfdc8
ETS2	Tbrg3
PPARG	Mrps23
GR	Glp2r
Oct-2	Patz1
NRSF	Htr1a
ATF	Tspyl4
AP-2rep	Zc3h12d
AP-2rep	Gm5820
NF-E2	9330111N05Rik
SOX5	Lig3
PPARG	Mrps25
ETS2	Olfr1448
GR	Cpne6
Nobox	Igsf1
myogenin	Orc4
ETS2	Olfr1449
myogenin	Snord1a
SOX5	Kcnt2
Lyf-1	2610001J05Rik
myogenin	Snord1b
myogenin	Snord1c
Cdx-1	Rrp8
AP-2rep	Nrn1
Stra13	Dcaf13
GR	Csf2rb2
ETS2	Lect1
Arnt	Gtf2h1
ETS2	Lect2
ETS2	Klrc1
SOX5	Clec1a
Nkx2-5	Cpa1
ATF2	Sst
GABP	Evi2b
ETS2	Klrc3
alpha-CP1	Txnip
ipf1	Krt73
HNF4	Procr
PUR1	Cldnd2
PPARG	Pcsk2
Stat3	Socs1
T3R	Hrsp12
AP-2rep	Gfap
c-Rel	Ppp1r14c
Nkx2-5	Serpinb12
NRF-1	Atg3
Stat3	Socs2
ipf1	Hmg20a
PPARG	Echdc3
HNF4	Tusc2
YY1	Larp7
Lyf-1	Yif1a
