rom GENESYM to affyhg
LXR	C19orf46
MAFA	SEBOX
E2A	LIN7B
ATF2:c-Jun	TRAF4
PUR1	NR2E3
Oct-2	ZHX2
TEF-1	KCNJ10
AP-1	NFATC2
TEF-1	ARL1
TEF-1	KCNJ11
RFX1	FIG4
FXR	RNU11
FXR	RNU12
TEF-1	KCNJ12
TEF-1	ARL2
ETS2	PHF20L1
LBP-1	SPAG6
LBP-1	SPAG7
TEF-1	ARL3
TEF-1	KCNJ13
STAT6	VWDE
STAT5A	THRB
TEF-1	KCNJ15
SOX10	EPHX3
HNF4	TNP1
COUP	CCDC136
STAT6	PTGS1
TEF-1	KCNJ16
HNF4	TNP2
LTF	NSD1
PXR(PXR:RXR)	TCHHL1
AP-1	ZFAT
STAT6	PTGS2
PUR1	C22orf33
YY1	HCST
PUR1	ARFGEF2
HNF4	LRFN1
TEF-1	KCNJ18
LBP-1	MED12L
ATF	FN1
STAT4	MIR759
YY1	DIXDC1
ESR2	SNORD96B
HNF4	LRFN3
HNF4	RASGRP1
Lyf-1	HMX2
NF-1	ADAMTS12
TEF-1	C7orf53
HNF4	RASGRP2
HMGIY	CCDC14
TEF-1	C7orf54
PUR1	ST7L
HNF4	LRFN5
TEF-1	C7orf55
TEF-1	ADPRH
HNF4	RASGRP3
LEF1	TRAIP
HNF4	RASGRP4
LM4_M2	CEP290
Nrf-1	UTP11L
TEF-1	C7orf57
NURR1	TSC22D2
TEF-1	C7orf58
LEF1	GPC4
NURR1	TSC22D3
TAL1	ITGBL1
TEF-1	C7orf59
LM4_M2	SCRIB
HMGIY	SUN5
NURR1	MXI1
FXR	HGFAC
FXR	TTC16
NeuroD	SDCBP2
STAT4	DYNC1LI2
TEF-1	SPATS2
c-Ets-1	PRDM5
YY1	ADAM10
HNF4	PLEKHN1
NURR1	REM1
YY1	ADAM12
STAT6	FRYL
Nrf-1	TBC1D12
PU.1	L1CAM
MAFA	TTYH2
TEF-1	NPY1R
TGIF1	KLHL6
MEIS1	PLCD1
YY1	ADAM15
SOX4	BRS3
NURR1	EGLN2
Nrf-1	TBC1D15
HNF4	SMCR7L
HNF4	MIR1180
NURR1	EGLN3
HMGIY	RUVBL1
PXR(PXR:RXR)	ITIH3
HMGIY	RUVBL2
HNF4	MIR1181
STAT4	GNAL
HNF4	MIR1182
YY1	ADAM19
LEF1	MBIP
RFX1	NFATC4
COUP	ZNF513
SOX10	TOX2
MIF-1	ITPKC
ETS2	CDC42BPG
PXR(PXR:RXR)	CMBL
ETS2	WASF1
YY1	OPHN1
SOX10	TOX3
HMGIY	RPL4
FXR	PHYHIPL
SOX10	TOX4
ETS2	WASF3
STAT6	SNAPC4
E2A	MPV17
HMGIY	RPL7
STAT4	EIF2B4
STAT4	GNAS
TEF-1	BCL2L12
HNF4	CCDC71
YY1	LOC644100
TEF-1	C1D
HNF4	CCDC72
PUR1	SMAP2
RFX1	TIMP4
TEF-1	BCL2L14
YY1	FERD3L
HNF4	HTRA1
GR	GDAP2
STAT4	SNORA63
Staf	FBXO15
MAFA	AMAC1L3
MAFA	ZNF148
HNF4	HTRA2
HNF4	CCDC75
MIF-1	WARS2
OTX	SLC4A4
TEF-1	ZXDB
HNF4	CCDC77
Myc	FXYD2
deltaEF1	OR10Z1
c-Rel	POU3F3
ETS2	ARHGEF1
HNF4	CCDC78
HNF4	CCDC79
PUR1	SEC31B
ETS2	ARHGEF2
ETS2	SRGAP1
ETS2	ARHGEF3
PUR1	LARGE
ETS2	SRGAP2
OTX	LEMD1
ETS2	ARHGEF4
ETS2	ARHGEF5
Staf	PLK1
AP-1	SMAD3
MAFA	ATF2
ETS2	ARHGEF7
PU.1	GPR143
NURR1	TRANK1
STAT6	ABCA12
MAFA	ATF3
MAFA	ATF4
E2A	MUC5B
STAT3	SNORD54
MAFA	ATF5
TEF-1	C1R
ETS2	ARHGEF9
GR	RARA
PUR1	NXN
TEF-1	C1S
FXR	LST1
GR	RARB
ETS2	FBXO41
Myc	PDK1
SF1	SH2B1
PU.1	GPR148
IRF8	ZNF238
HMGIY	CXCL10
HNF4	APLNR
ATF4	GPM6B
MAFA	PAGE4
PU.1	RAB8B
NeuroD	AASDHPPT
PR	TINAG
ETS2	FBXO44
MYB	ABCC5
ERR2(ESRRB)	SCN5A
STAT4	ZNF304
ETS2	FBXO46
E2A	EPS8L2
ETS2	FBXO47
TEF-1	FAM181B
E2A	EPS8L3
LBP-1	FAM169A
LBP-1	DCDC2
LBP-1	FAM169B
Arnt	RAB21
COUP-TF	LOC100130452
NFAT2	C12orf10
Nrf-1	PHF12
TCF-4	PRKCB
NFAT2	C12orf11
MAFA	LOC100128811
MEIS1	PSMA6
YY1	FAM35A
SOX4	NIT2
E2A	OGDHL
YY1	CD101
TCF-4	DNAJC5B
ETS2	CIC
NeuroD	WNK2
Nrf-1	PHF14
HNF4	C11orf61
NeuroD	WNK3
NURR1	ESCO2
NeuroD	WNK4
AP-4	CLDN10
AML1	CREBL2
MAFA	OR10T2
TEF-1	DHX40
NURR1	MGA
STAT6	C4orf52
NURR1	ACVRL1
HNF4	C11orf65
SOX4	SLC15A2
AP-4	CLDN14
ETS2	POU5F1P3
HNF4	C11orf66
MAFA	LY96
Oct-1	SP2
TEF-1	STOML1
HNF4	C11orf67
HNF4	C11orf68
NF-kappaB(p50)	PIGV
TEF-1	STOML2
E2A	RUNDC2A
TEF-1	SAMD4A
TEF-1	STOML3
TEF-1	SAMD4B
NFAT2	SYNE2
TEF-1	FAM45A
Oct-1	SP6
Meis1	FLJ45244
FXR	METTL12
TEF-1	FAM45B
E2A	ZFYVE9
LEF1	FBXO32
HNF4	STEAP3
FXR	SPRED2
FXR	METTL13
AP-1	HSPA12A
SOX4	CXCL1
ETS2	ASCC2
AP-1	ETS2
RelB:p52(NF-kappaB)	CABP2
Oct-1	SP9
ETS2	ASCC3
NURR1	RNU5D
GR	GOT1
SOX10	PMFBP1
NURR1	RNU5E
PUR1	GJC2
SMAD	CYP2F1
NFKB1	UBXN7
NURR1	CEP350
NURR1	IL1F6
SF1	CA2
CTCF	SCN3A
NURR1	IL1F7
AP-2rep	PIK3AP1
GABP-alpha	URM1
NURR1	IL1F8
GR	TEX11
FLI1	DCBLD2
SOX4	CXCL9
NURR1	IL1F9
FRA1	PMCH
SF1	CA7
CREB	LOC401463
MAFA	ELAVL2
TEF-1	AGFG1
NF-1	TGIF2-C20ORF24
ETS2	FAM32A
NURR1	TMEM33
TEF-1	PXT1
MAFA	ELAVL4
USF	ANKRD33B
NeuroD	PPIP5K1
AP-2rep	KNCN
LEF1	IKZF2
GR	AK5
LEF1	IKZF3
YY1	TMIE
FXR	SOX10
GR	LCE3E
GR	AK8
FXR	SOX12
NeuroD	IL18BP
NF-Y	DEDD2
PUR1	NR2F2
SOX10	LOC574538
AP-4	OST4
TAL1	LOC390940
STAT6	PECAM1
SOX10	ZNF518A
STAT4	MIR761
NeuroD	COL14A1
Pax-4	LMO3
STAT3	NOTO
HNF4	ACPL2
FXR	SOX17
PUR1	NR2F6
STAT6	C16orf93
P50:P50	CDC20B
E2A	PM20D2
alpha-CP1	HIVEP3
GR	CAMK1
AP-2rep	MEST
Myc	SSR1
STAT4	MIR765
HMGIY	FAM198B
AP-2rep	FLJ42627
PXR(PXR:RXR)	CMC1
LBP-1	PHKG1
LBP-1	FTSJD2
PUR1	TFF2
LBP-1	PHKG2
YY1	SNORA3
STAT6	COL11A2
GLI3	FANCD2
Myc	SSR3
TEF-1	C7orf60
ETS2	FRMD5
LBP-1	MED13L
YY1	RCE1
NeuroD	CHL1
Myc	C6orf174
HMGIY	CLOCK
YY1	SNORA4
STAT4	MIR769
USF	MGC16275
TEF-1	RIF1
ATF2:c-Jun	IRX4
TEF-1	OSR2
YY1	FLT3LG
Nrf-1	STARD10
ETS2	FRMD7
TEF-1	C7orf63
STAT6	ASAP2
ETS2	FRMD8
TEF-1	C7orf64
STAT6	ASAP3
HMGIY	CCDC25
TLX1::NFIC	TMCC2
TEF-1	C7orf66
LEF1	GPD2
YY1	SNORA9
TEF-1	EMCN
TEF-1	C7orf68
MEIS1	DMXL1
AP-1	TREX1
NF-Y	PQBP1
STAT6	EMX2
GR	ACAD10
NURR1	DDI1
FXR	TTC24
FXR	TTC25
NeuroD	LMBR1L
PKNOX2	RBM46
GLI3	CYB561D1
NeuroD	HOOK1
STAT6	DSTYK
NeuroD	HOOK2
ETS2	RIPPLY1
NeuroD	HOOK3
ETS2	RIPPLY2
YY1	UMODL1
NeuroD	ERF
FXR	TTC29
PUR1	PKP1
NeuroD	ERG
Nrf-1	TBC1D20
YY1	ADAM21
PUR1	PKP2
HNF4	PLEKHO1
TEF-1	GABARAP
HNF4	PLEKHO2
NeuroD	ERH
PUR1	PKP3
NeuroD	AGPAT1
NeuroD	COL9A1
NeuroD	AGPAT2
FLI1	GON4L
Myc	UBE2D3
STAT4	VIP
YY1	ADAM23
REST	CHAT
NeuroD	COL9A2
EAR2	SPATA22
TEF-1	NPY2R
SOX10	IDH2
NeuroD	AGPAT4
NFAT2	TSLP
NFAT2	FCRLA
LRF	WISP2
NeuroD	AGPAT5
Nrf-1	TBC1D25
PUR1	COMP
YY1	LOC645638
SOX10	ALG10
HNF4	SLC29A2
MAFA	LOC100132146
HNF4	MIR1193
FXR	LEMD3
NeuroD	AGPAT9
PUR1	COMT
NeuroD	CACNB1
AP-1	LOC100233209
PU.1	LY75-CD302
NeuroD	CACNB2
SOX10	ALG14
NeuroD	ELFN1
NeuroD	ELFN2
NeuroD	CACNB3
RP58	CACNB4
HNF4	MIR1197
MAFA	NT5DC3
NeuroD	CACNB4
HMGIY	MTPAP
TEF-1	EARS2
ETS2	POC1A
MAFA	ZNF154
STAT4	SNORA70
PXR(PXR:RXR)	TMEM182
TEF-1	IPP
HNF4	NKX3-2
ETS2	USE1
ERR2(ESRRB)	DHRS11
PUR1	QPRT
HNF4	CCDC82
POU5F1	MPEG1
LBP-1	SYN1
MAFA	GFM2
STAT4	SNORA72
PR	LMF1
STAT3	C1orf198
ATF	FOS
SOX10	FNTB
HNF4	CCDC84
YY1	MCM2
PXR(PXR:RXR)	TMEM186
YY1	MCM3
STAT4	SNORA75
PPAR	COQ5
HNF4	CCDC86
YY1	MCM5
FXR	LOC286359
PXR(PXR:RXR)	MSRA
TAL1	WDFY3
ETS2	MDFI
E2F	ABHD10
LBP-1	LOC284276
STAT4	SNORA79
YY1	MCM7
NeuroD	LOC286083
TCF-4	P2RY10
TEF-1	TRAFD1
ATF	DNAJB11
HNF4	LRG1
CACCC-bindingfactor	LOC100288748
PU.1	GPR151
GR	SLC22A1
LBP-1	FER1L4
TCF-4	P2RY14
STAT3	NCRNA00114
TEF-1	OPN1LW
SOX10	MMACHC
LTF	SEMA3B
YY1	OR9A2
MAFA	ATG3
PU.1	NAGA
USF1	ELL
HMGIY	SUOX
LTF	SEMA3C
Nrf-1	SNRNP70
PU.1	SPTBN5
NURR1	THRSP
AP-2rep	RELA
NeuroD	DKFZp686K1684
YY1	OR9A4
AP-2rep	RELB
FXR	LRIG2
STAT6	CCT7
PUR1	APOA2
STAT4	SNORA7A
FRA1	TNXB
ATF1	FAM102A
E2A	NSMCE4A
PU.1	GPR157
GR	SLC22A8
HEB	HOOK1
MAFA	DPYD
Lyf-1	MIR3142
HMGIY	PCDHB19P
TCF4	MIR3184
TEF-1	AIPL1
PUR1	APOA5
GR	SLC22A9
LBP-1	SYNC
FXR	PNKD
TEF-1	MINA
MEF-2	GATA4
HNF4	AMTN
FXR	MAPK4
STAT4	PI15
REST	CRH
STAT6	GRINA
Arnt	BPTF
HNF4	MGRN1
STAT5A	ALKBH8
NeuroD	FTSJ1
AR	STRN
alpha-CP1	GYS1
NeuroD	FTSJ3
HNF4	B9D1
YY1	SLC39A11
STAT6	PHPT1
HNF4	B9D2
Nrf-1	PHF23
YY1	FAM36A
LRF	TBC1D14
YY1	SLC39A12
LBP-1	SYNM
NeuroD	BTBD1
HNF4	C11orf70
GR	MRPL11
YY1	SLC39A13
HNF4	C11orf71
SOX10	PRUNE
YY1	SLC39A14
HMGIY	FOXA2
NeuroD	BTBD3
ERR2(ESRRB)	NR2F6
FXR	BAZ1A
LEF1	SRGAP1
GR	MRPL13
FXR	BAZ1B
E2A	UCMA
FXR	OPRL1
Oct-1	ADAMTS19
MAFA	DPYS
E2A	STK40
HNF4	C11orf75
SOX4	PIP
PR	IPP
SOX4	PIR
YY1	PIK3C2B
TCF-4	PDPN
SOX10	GRIK1-AS1
RORA_2	C14orf176
NeuroD	BTBD9
TEF-1	FAM46A
AP-2rep	HTR5A
TEF-1	DHX58
RORalpha	ZFP36L1
SOX10	LOC645431
SOX10	FRY
YY1	TRHDE
YY1	PIK3C2G
TEF-1	SYVN1
TEF-1	FAM46C
TEF-1	FAM46D
REST	TRAF1
E2A	MEGF11
HMGIY	LOC400043
STAT3	ASB13
STAT3	ASB14
PUR1	GJD2
PU.1	PCDHAC2
PUR1	GJD3
TEF-1	ALOX12
STAT4	NEK9
CTCF	SCN4B
LBP-1	GRN
LBP-1	CD274
ETS2	C1QL1
TEF-1	ALOX15
AML1	TJP1
SMAD	NAALADL2
LBP-1	CD276
HNF4	PVRL1
ETS2	CDV3
HNF4	PVRL2
STAT6	U2AF1L4
TEF-1	LDLR
PUR1	C10orf92
HNF4	PVRL3
NR2F1	STK11
RFX1	FAM161B
ETS2	C1orf104
HNF4	PVRL4
CTCF	MFI2
ETS2	C1orf105
Myc	MBLAC2
SOX4	GRM1
LBP-1	TNNT2
LBP-1	TNNT3
NeuroD	DCDC2B
ETS2	C1orf106
ETS2	SRRM1
GR	PART1
LBP-1	C21orf96
ETS2	SRRM2
REST	C6orf174
ETS2	SRRM4
ATF1	ZBTB48
PXR(PXR:RXR)	PTAR1
Myc	ERN1
STAT3	RUVBL1
STAT3	RUVBL2
PU.1	LOC100130950
alpha-CP1	MAP3K9
HNF4	KIAA0040
E2A	FOLR1
HSF1	MRC1
SOX10	OSCAR
NURR1	C17orf28
NF-kappaB(p65)	IL6ST
TEF-1	TTC30A
HMGIY	NOS1AP
YY1	ERO1LB
AP-2rep	WEE1
TEF-1	TTC30B
PKNOX2	LOC145663
c-Myc:Max	SEC11C
TEF-1	C7orf71
TEF-1	TSKS
IRF8	ACMSD
TEF-1	C7orf72
PXR(PXR:RXR)	SMTNL2
TCF4	POC1B-GALNT4
TEF-1	TSKU
HMGIY	CCDC34
HNF3A	C6orf115
SOX10	CRNDE
YY1	PRTG
GR	RBM20
FXR	JSRP1
HMGIY	SPRR1A
SOX10	APPBP2
AP-2rep	CORO7-PAM16
HOXA6	MUC15
NeuroD	HHEX
STAT3	PIK3R3
HMGIY	SPRR1B
SOX9	MYT1
GR	RBM23
GR	ALK
CTCF	DNMT3B
STAT3	PIK3R5
AP-4	HYAL2
IRF8	CDH18
SOX4	FATE1
FXR	TTC36
PXR(PXR:RXR)	OR9Q2
YY1	PHF21A
LBP-1	MTTP
YY1	PHF21B
Elk-1	FRA10AC1
TEF-1	MMRN2
REST	VGF
STAT6	RD3
GR	THAP9
MAFA	AASS
NURR1	DUOX1
HNF4	SIP1
GR	SPRR4
MAFA	FAM83G
deltaEF1	CTNS
Nrf-1	TBC1D30
Myc	UBE2E1
MAFA	FAM83H
TCF4	RNF103
USF1	BRIX1
ETS2	DKFZp686O1327
HNF4	APLP1
HMGIY	LOC100287010
ATF1	LEKR1
YY1	NHP2
FRA1	FGF12
AP-1	LOC100131496
RelB:p52(NF-kappaB)	DENND4A
HNF4	APLP2
GR	GUCA1C
TCF-4	ORC3
AP-1	MRPL10
HNF4	LAMTOR1
AP-1	IL12B
TEF-1	MECOM
NURR1	HIPK1
LM4_M2	ENY2
HNF4	LAMTOR2
HNF4	LAMTOR3
EBF	AAMP
NUR77	MTIF3
GR	NR4A3
NURR1	HIPK4
E2A	KAT2A
AP-1	CD27
YY1	SLC3A2
AP-2rep	MXI1
NeuroD	PDP1
PU.1	SSBP1
LBP-1	ADAR
NeuroD	PDP2
PU.1	SSBP2
NF-kappaB(p50)	LOC100288428
AP-2rep	CSNK1G3
PU.1	SSBP4
USF1	DVL2
NeuroD	SLIT1
STAT4	VAV3
NeuroD	CHML
ATF	LTBP1
YY1	EXOSC1
NeuroD	SLIT2
REST	STMN2
GR	NCRNA00052
NeuroD	SLIT3
STAT4	SNORA80
YY1	EXOSC3
STAT3	LRSAM1
AP-2rep	REM2
YY1	EXOSC4
STAT4	SNORA81
TEF-1	LOC100499177
YY1	EXOSC5
NeuroD	DOC2GP
STAT3	TTPA
ETS2	USF2
YY1	EXOSC6
NeuroD	LOC100129034
HNF4	CCDC93
HNF4	RUNDC2A
YY1	EXOSC7
STAT6	LOC285577
FRA1	IL8
YY1	EXOSC8
GABP-alpha	LYSMD1
TEF-1	SFRS18
STAT5A	FZD1
TEF-1	SLC4A2
YY1	EXOSC9
NeuroD	PDSS1
TCF-4	BCL6
HNF4	CCDC96
TEF-1	SLC4A3
TEF-1	RANBP1
HNF4	CCDC97
HMGIY	HSP90AA1
NF-Y	C6orf129
NeuroD	PDSS2
SOX4	ERMAP
TR4	USP51
TEF-1	SLC4A4
ETS2	LOC388906
PXR(PXR:RXR)	PIGA
TEF-1	SLC4A5
NURR1	MOGAT3
PXR(PXR:RXR)	KCNK5
GR	FLRT3
NF-Y	SLC43A2
FLI1	CDK13
NeuroD	LOC286094
TEF-1	SLC4A7
TEF-1	SLC4A8
MyoD	HMX2
HEB	FBXL17
LBP-1	TG
MAFA	LGALS7
LEF1	GPRC5D
LBP-1	TH
Oct-1	CPS1
TEF-1	SLC4A9
TEF-1	RANBP6
STAT6	METTL9
E2A	SP7
HMGIY	ABHD14A-ACY1
STAT4	KIAA0415
ER	C1orf151
YY1	C8orf44-SGK3
LTF	SEMA4C
LBP-1	SUPT4H1
E2A	UCN2
alpha-CP1	PAN2
STAT3	OTX1
STAT6	KRT75
AP-2rep	PPME1
PXR(PXR:RXR)	MRPL3
STAT6	DPYSL2
TCF4	MIR3196
SOX4	ALDH3A1
STAT6	KRT76
STAT6	DPYSL3
Myc	POLR2I
HNF4	FAM186A
STAT6	DPYSL4
NeuroD	PDPN
TEF-1	FAM183A
STAT6	KRT78
HNF4	FAM186B
GR	MTPN
STAT6	DPYSL5
NeuroD	UTP18
Msx-2	RUNX1T1
ERR2(ESRRB)	SNORD59A
Myc	POLR2L
AP-4	RAD54L2
c-Myc:Max	NBEA
ERR2(ESRRB)	SNORD59B
HSF2	SLCO1C1
E2A	EPB41L4B
STAT6	ANAPC13
LRF	TBC1D24
HNF4	C11orf80
ETS2	BRI3
HMGIY	FOXB1
NeuroD	ESPL1
HNF3A	KIAA1324L
Zic2	KCNC4
c-Rel	PDE4D
STAT6	KRT4
HNF4	C11orf82
HMGIY	FOXB2
USF	ZNF628
HNF4	LOC643714
SOX4	CCDC88C
STAT6	KRT5
HNF4	C11orf84
FXR	OPRM1
STAT6	KRT7
HNF4	C11orf85
alpha-CP1	KIF18A
E2A	KLF10
alpha-CP1	KIF18B
STAT6	KRT8
HNF4	C11orf86
GABP	PHOSPHO2-KLHL23
MEF-2	MYOCD
HNF4	C11orf87
REL	IKBKE
NURR1	MIF
HNF4	C11orf88
GR	PPP1R3F
TEF-1	MIOS
HMGIY	LIMS1
NURR1	AHSA1
SOX10	LSP1
AP-2rep	MIR106B
HMGIY	LIMS2
ETS2	CKM
E2A	SPR
NF-Y	SGOL2
PU.1	PGM2L1
TEF-1	MIOX
NURR1	LOC643008
MEF2A	C22orf24
SF1	ATP6V0C
SOX10	OR52A1
TEF-1	FAM47E
TGIF	TREML1
MyoD	NCRNA00238
RORA_1	RUNX1T1
P50:RELA-P65	MLLT6
GABP-alpha	ZNHIT2
POU5F1	C16orf45
SOX10	OR52A4
PPARgamma:RXRalpha	SPEG
GABP	CSTF1
HNF4	AGPHD1
NURR1	MIP
TEF-1	BEST2
TEF-1	EME1
OTX	EGLN3
Meis1	USP15
GABP	CSTF2
YY1	KRTAP9-1
TEF-1	BEST3
GABP	CSTF3
AP-1	GUCA1C
NFAT2	COL11A1
USF	LCORL
LBP-1	GSN
STAT4	TRIM78P
ETS2	C1orf111
PU.1	RUNX3
c-Ets-1p54	PARD6B
LRF	JOSD2
TCF-4	PPP2R1B
ETS2	C1orf112
NURR1	TMEM51
NURR1	TMEM52
LBP-1	GSS
SOX10	USHBP1
YY1	MYBBP1A
GR	TAZ
NeuroD	DMP1
NURR1	TTC7A
HNF4	LOC100132111
STAT6	RHOBTB1
YY1	TRIAP1
STAT6	RHOBTB2
LBP-1	TMEM63B
ETS2	C1orf116
Oct-1	SRF
YY1	TTC21A
LBP-1	TMEM63C
PXR(PXR:RXR)	GUCY1B2
TAL1	C1orf200
E47	HES5
GABP	YKT6
TCF-4	VIL1
Dax1	C1orf151
TAL1	C1orf201
HNF4	FMN1
TAL1::TCF3	LOC283392
PU.1	MUSTN1
NF-kappaB(p50)	LOC389247
HNF4	FMN2
RFX1	AP2S1
FLI1	AP3D1
OCT-x	CIB2
HNF4	SIPA1
SOX10	DENND1B
SOX10	DENND1C
ETS2	AKIRIN1
Ets	NCRNA00290
TEF-1	MECP2
ETS2	LOC392232
NURR1	PEX14
p53decamer	EPB41L1
PUR1	LOC440335
TEF-1	FLJ14107
NURR1	PEX16
HNF4	TNS1
NFAT2	EMG1
ATF	B3GAT3
TEF-1	TSLP
Oct-1	NBR2
STAT6	PRPF8
SOX10	TACSTD2
HNF4	TNS4
MAFA	AATF
SOX10	GSX1
IPF1	DAAM2
NeuroD	CHN1
STAT3	IKBKB
CTCF	INTS1
USF	C13orf38
NeuroD	CHN2
STAT3	HTR1B
USF1	ANKRD17
TEF-1	PPHLN1
HNF4	ZWINT
TEF-1	OST4
N-Myc	HSPE1-MOBKL3
HMGIY	CCDC45
NeuroD	ORC3
HMGIY	CCDC46
alpha-CP1	HSPA2
STAT3	HTR1E
NeuroD	ORC4
HMGIY	CCDC47
ATF	TRAF4
CTCF	INTS7
NeuroD	GCDH
HMGIY	PCDHGA1
Lyf-1	GNA13
AP-2rep	ZNF740
alpha-CP1	HSPA5
GR	RBM34
HMGIY	SPRR2D
NeuroD	DMPK
NeuroD	TBCEL
MAFA	FAM84A
MAFA	PVRIG
Myc	OR13C4
HMGIY	PCDHGA3
MAFA	FAM84B
HMGIY	SPRR2F
STAT6	HCN4
NFAT2	WIBG
HMGIY	PCDHGA5
HMGIY	PCDHGA6
PXR(PXR:RXR)	TMPRSS2
FXR	RAPGEF2
HMGIY	PCDHGA7
TEF-1	SEPP1
STAT3	C1QB
NURR1	SLC2A12
STAT4	PGRMC2
STAT6	TMC6
PXR(PXR:RXR)	SEZ6
HMGIY	PCDHGA9
c-Myc	TASP1
NF-kappaB	C17orf46
GR	OR11H6
NURR1	SLC2A14
FXR	RAPGEF5
HNF4	RPL13AP5
NFAT2	TTLL6
RelB:p52(NF-kappaB)	JPH3
Arnt	CUX1
NeuroD	BCL3
STAT3	LOC644189
SOX10	NEDD8-MDP1
USF1	EN2
CREB	CCBL1
HMGIY	CHTOP
AP-1	CD34
MAFA	CLASRP
NeuroD	BCL6
MAFA	VIPR1
NRSF	NMS
MAFA	VIPR2
GR	SALL4
E2A	DKFZp566F0947
NeuroD	SDR42E1
NFAT2	LOC200726
AP-2rep	DDI2
LBP-1	LOC100130776
TEF-1	PAFAH2
E2A	ABTB1
ETS2	GRB2
NF-Y	C6orf130
MAFA	MMS22L
LEF1	IFT20
TEF-1	C4A
TEF-1	OSTN
MAFA	ZNF174
TEF-1	C4B
ETS2	GRB7
FXR	DDX5
E12	KRTAP1-5
HNF4	RUNDC3A
HEB	FBXL20
FXR	DDX6
alpha-CP1	G3BP2
Staf	FBXO46
NeuroD	LOC100129046
STAT4	TCF15
LXR	ACTA1
E2A	SLC16A10
E2A	SLC16A11
TEF-1	EPB41L4B
SOX	MEX3C
E2A	HAGHL
HNF4	XPC
E2A	SLC16A12
HNF4	SLC14A1
GR	C9orf3
STAT6	GRIP2
PXR(PXR:RXR)	ODF1
FXR	ACSF2
ETS2	ADAM10
YY1	EFCAB4B
E2A	SLC16A14
TEF-1	LPGAT1
HNF4	WBP11P1
ETS2	ADAM11
ATF	SNORD37
GABP	KCTD10
CREB	DEPDC4
MAFA	ZMIZ2
YY1	KDELC1
MAFA	TUFM
FXR	LARP7
HNF4	STXBP2
Myc	POLR3A
ETS2	ADAM15
MAFA	UGT8
PU.1	GPR174
Pax-4	LIN28A
AP-4	DOCK9
PXR(PXR:RXR)	MET
HNF4	PTP4A2
HNF4	STXBP3
PU.1	GATSL3
HNF4	STXBP4
STAT6	KRT81
NeuroD	UTP20
REST	FBLL1
NeuroD	IPCEF1
ETS2	ADAM17
NF-Y	MSH5-C6ORF26
PUR1	APOC3
ETS2	ADAM18
Myc	POLR3D
Myc	POLR3E
LBP-1	RTN1
HNF4	STXBP6
STAT6	KRT83
LBP-1	RTN2
PU.1	GPR179
REL	CLASP1
NeuroD	UTP23
STAT6	MAGEB3
Myc	POLR3G
TEF-1	OLIG1
STAT6	KRT86
LBP-1	RTN4
COUP	ZFYVE20
TEF-1	OLIG2
TEF-1	FAM184A
HNF4	FAM187B
STAT3	LOC221122
TEF-1	OLIG3
TEF-1	FAM184B
STAT4	LOC100506144
MAFA	TBR1
ETS2	MAGED4B
NFAT2	C12orf40
alpha-CP1	CTH
STAT3	ARVCF
SOX10	FTL
NFAT2	C12orf41
HEN1	FAM13B
FXR	NIPSNAP1
FXR	EGLN2
Zic2	KCND2
YY1	FAM38B
NF-kappaB(p50)	CKS1B
PU.1	GJA4
HNF4	C11orf91
PUR1	LOC100270710
NF-kappaB(p65)	POU3F3
PU.1	GJA5
GR	MRPL32
HNF4	C11orf92
NeuroD	JRKL
YY1	FLG2
NeuroD	NEURL1B
LBP-1	TARS2
PPARdirectrepeat1	PAK4
HNF4	C11orf93
Tal-1beta:E47	PHEX
LEF1	RNF186
ETS2	SPINLW1
HNF4	C11orf94
COUP	TMPPE
AP-2rep	INSIG1
HNF4	IL22RA1
FXR	PNMT
AP-2rep	INSIG2
Prop-1	LOC100505832
PPAR	CDK16
AP-4	MC4R
USF	DDX21
Tel-2	ARHGEF3
PPAR	CDK18
MAFA	JUB
Arnt	COPS7A
FLI1	PDZRN4
Arnt	RAB5A
RFX1	HM13
YY1	NDST1
NURR1	FLJ42351
Tal-1beta:E47	HSD3B7
NeuroD	VIL1
YY1	NDST3
ETS2	RG9MTD3
SOX10	OR52B4
AP-1	ETV5
TAL1	P2RX3
ETS2	CLU
COUP	CITED1
TEF-1	BHLHE22
TEF-1	MC2R
SF1	C10orf26
ETS2	CDX1
ETS2	CDX2
LRF	ECE1
NeuroD	SERPINA11
HNF4	THSD7B
AP-1	PAPPA
USF1	C2orf67
LRF	ECE2
HMGIY	OR1F2P
ETS2	C1orf122
SOX4	NMNAT2
CTCF	NR2F1
AP-2rep	MFHAS1
HMGIY	PFKM
Myc	WNK3
ETS2	LOC285456
PUR1	LOC441869
FXR	MGC16703
CTCF	AGTR1
STAT4	DPAGT1
ETS2	C1orf126
NURR1	ZBTB16
TTF1(Nkx2-1)	NOS3
SOX4	PCDHGA2
STAT6	RASSF1
STAT6	RASSF2
YY1	NCKAP5L
SOX4	PCDHGA3
STAT6	RASSF3
ETS2	ORAI2
NURR1	C17orf44
MIF-1	C10orf27
STAT6	RASSF5
PU.1	NCRNA00111
NURR1	C17orf46
Nrf-1	C17orf63
NURR1	IDH3A
Myc	ERP29
HNF4	PTPMT1
YY1	DBC1
STAT6	RASSF6
HNF4	FMO4
AP-2rep	GSTT2B
NURR1	IDH3B
NUR77	CS
HNF4	EFEMP2
PU.1	PKN1
LBP-1	CDKN2AIPNL
PU.1	NCRNA00114
